Title,Year,Directors
DO BIGHA ZAMIN,1954,BIMAL ROY
DO BOOND PANI,1971,K.A. ABBAS
DO DIL,1947,JAGDISH SETHI
DO DULHE,1955,K.J. MAHADEVAN
DO KALIYAN,1968,KRISHNAN & PANJU
DO PHOOL,1958,A.R. KARDAR
DO RAHA,1971,FIROZ CHINOY
DOCTOR,1963,M.S. MANI
DOGHI / TWO WOMEN,1995,SUMITRA BHAVE & SUNIL SUKHATANKAR
DOLI,1947,S.K. OJHA
DOMBARA KRISHNA,1979,H.M.K. MURTHY
DOOJ KA CHAND,1964,NITIN BOSE
DOOMS DAY / ATHYUNNATHANGALIL KOODARAM..,1998,AZEEZ
DOOR GAGAN KI CHAON MEIN,1964,KISHORE KUMAR
DOOR KA RAHI,1971,KISHORE KUMAR
DOOR KA RAHI (REEL NO. 14 ONLY),1971,KISHORE KUMAR
DOORATWA,1978,BUDHADEV DASGUPTA
DOSTI,1965,SATYEN BOSE
DR. BEZ BAROOCH,1969,BROJEN BARUA
DR. CHAKRAVARTHY,1964,A. SUBBA RAO
DR. VIDYA,1960,RAJENDRA BHATIA
DRAUPADI VASTRAPAHARANAM,1936,H.V. BABU
DROHKAAL,1994,GOVIND NIHALANI
DUI PURUSH,1945,SUBODH MITRA
DULHAN EK RAAT KI,1966,DHARM DEV KASHYAP
DUNIYA JHUKTI HAI,1960,J.B.H. WADIA
DUNIYA KA MELA,1974,KUNDAN KUMAR
DUPHANG-NI-SOLO / AN AUTUMN FABLE,1998,PINKY BRAHMA CHOUDHURY
DURGA,1939,FRANZ OSTEN
DURGA,1989,BASU CHATTERJEE
DUS LAKH,1966,DEVENDRA GOEL
DUVIDHA,1973,MANI KAUL
EDUCATION : ONLY HER FUTURE,1999,ARUN GONGADE
EENADU,1982,I.V. SASI
EK BAAR PHIR / ONCE AGAIN,1979,VINOD PANDE
EK BECHARA,1972,S.M. ABBAS
EK DHAGA SUKHACHA,1961,DATTA DHARMADHIKARI
EK DIN ACHANAK,1988,MRINAL SEN
EK DIN KA SULTAN,1945,SOHRAB MODI
EK DIN PRATIDIN,1979,MRINAL SEN
EK DIN RAATRE / JAGTE RAHO,1956,SOMBHU MITRA
EK DO TEEN,1953,ROOP K. SHOREY
EK DUJE KE LIYE,1981,K. BALCHANDER
EK GAON BARA BHANGADI,1968,ANANT MANE
EK JAAN HAIN HUM,1983,RAJIV MEHRA
EK JE CHILO DESH,1976,TAPAN SINHA
EK KHILADI BAWAN PATTE,1972,RAVI KHANNA
EK PAL,1986,KALPANA LAJMI
EK PHOOL CHAR KAANTE,1960,BHAPPI SONIE
EK RUKA HUA FAISLA,1985,BASU CHATTERJEE
EK THA ALIBABA,1963,HARBANS
EK THI LADKI,1949,ROOP K. SHOREY
EKADASHI,1955,DADA GUNJAL
EKAKINI,1975,G.N. PANICKER
EKI ANGE ETO RUP,1965,HARISADHAN DASGUPTA
EKTA JEEV SADASHIV,1975,GOVIND KULKARNI
EKTEE,1968,RAJA THAKUR
EKTI JEEBAN,1987,RAJA MITRA
EKTI KATHA,1936,TULSI LAHIRI
EKTI NADIR NAAM,2002,ANUP SINGH
EKTI RAAT,1956,CHITTA BOSE
ELEVEN O' CLOCK,1949,HOMI WADIA
"ELIPPATHAYAM / RAT TRAP, THE",1981,ADOOR GOPALAKRISHNAN
EMME THAMMANNA,1966,B.R. PANTHULU
EN THANGAI,1952,CH. NARAYANAMURTHY & M.K.R. NAMBIAR
ENGLISH AUGUST,1994,DEV BENEGAL
ENIPPADIKAL,1973,THOPPIL BHASI
ENTE MAMMATTUKUTTIAMMA,1983,FAZIL
ENTE SWANTHAM JANAKI KUTTILU,2000,T. HARIHARAN
ENTE VEEDUAPPOONTEM,2002,SIBI MALAYIL
ESTHEPPAN,1979,G. ARAVINDAN
ETHIR KAALAM,1960,M.S. SOLAIMALAI
ETHIR NEECHAL,1968,K. BALCHANDER
ETHIRPARADHATHU,1954,C.H. NARAYANAMURTHY
"EVENING IN PARIS, AN",1967,SHAKTI SAMANTA
EVEREST,1967,N.S. THAPPA
EXPLORER,1968,PRAMOD PATI
"EXPRESSION,AN",1988,PRAKASH JHA
EZHAI PADUM PADU,1950,K. RAMNATH
EZHUTHATHA KATHA,1970,A.B. RAJ
FACES AFTER STORM,1981,PRAKASH JHA
FAKIRA,1976,C.P. DIXIT
"FAMILY IN BANGALORE,A",1954,PAUL ZILS
FARZ,1967,RAVI NAGAICH
"FATHER'S LOVE, A/ PITRU PREM",1929,HARILAL M. BHATT
"FATHER, SON AND HOLY WAR",1994,ANAND PATWARDHAN
FAULADI MUKKA,1936,R.N. VAIDYA
FIFTY YEARS OF ARYAN CINEMA,1967,SHRINIVAS JOSHI
FIRINGOTI,1991,JAHNU BARUA
FIZA,2000,KHALID MOHAMAD
FOOT PATH,1947,ZIA SARHADY
FOOTPATH,1953,ZIA SARHADY
FORTS AND MEN,1968,PRABHAKAR PENDHARKAR
FRAME WITHIN FRAME,1986,YASH CHOUDHURY
FREEDOM,1992,SHAILA PARALKAR
FROM THE LAND OF BUDDHISM TO THE LAND OF BUDDHA,2000,SHALINI SHAH
FULLESHWARI / PHULESHWARI,1974,TARUN MAJUMDAR
GADAR - EK PREM KATHA,2001,ANIL SHARMA
GAJRE,1948,R.D. MATHUR
GALI MEDALU,1962,B.R. PANTHALU
GALLOPPING GHOST,1943,RAMANLAL DESAI
GALPA HOLEO GOLI,1966,TAPAN SINHA
GALYACHI SHAPATH,1949,R.V. RANE
GAMAN,1978,MUZAFFAR ALI
GAN SUNDARI,1948,F. NAGOOR
GAN SUNDARI,1956,K.S. SETHUMADHAVAN
GANADEVATA,1978,TARUN MAJUMDAR
GANAM,1982,SREEKUMARAN THAMPY
GANASHATRU,1989,SATYAJIT RAY
GANDHI,1981,RICHARD ATTENBPROUGH
GANDHI SE MAHATMA TAK /MAKING OF MAHATMA,1996,SHYAM BENEGAL
GANGA CHILONER PANKHI,1975,PADUM BARUA
GANGA JUMNA,1961,NITIN BOSE
GANGE GOWRI,1967,B.R. PANTHULU
GARAM HAWA,1973,M.S. SATHYU
GARIB KI TOPE / KHUDAI KHIDMATGAR,1937,VITHALDAS PANCHOTIA
GAWAHI,1989,ANANT BALANI
GAYATRI,1973,P.N. MENON
GEET,1944,S.U. SUNNY
GEET GATA CHAL,1975,HIREN NAG
GEETA,1940,P.Y. ALTEKAR
GEETANJALI,1989,MANI RATHNAM
GEETHA GANDHI,1949,K. SUBRAMANYAM
GEJJE POOJE,1970,S.R. PUTTANNA KANAGAL
GHAR KI IZZAT,1948,RAM DARYANI
GHARACHI RANI,1968,RAJ DUTT
GHARAKSHARANGAL,2000,SALIM PADIYATH
GHARANA,1961,S.S. VASAN
GHARONDA,1975,BHIMSAIN
GHATTASHRADDHA,1977,GIRISH KASARAVALLI
GHULAM-E-MUSTHAFA,1997,PARTO GHOSH
GHUNGHAT,1960,RAMANAND SAGAR
GIRIDHAR GOPAL KI MEERA,1949,PRAFULLA ROY
GLIMPSES OF THE INDIAN CINEMA,1967,B.D. GARGA
GLIMPSES OF WEST BENGAL,1966,BANSHI CHANDRA GUPTA
GNANA SOUNDRI,1948,F. NAGOOR & T.R. MAHALINGAM
GODAAN,1963,TRILOK JETLY
GODAM / WAREHOUSE,1983,DILIP CHITRE
GODESS COMES HOME,1964,JAMES BEVERIDGE
"GOLDEN RIVER, THE",1954,P.V. PATHY
GOLLABHAMMA,1941,C. PULLAIAH
GOLMAAL,1979,HRISHIKESH MUKHERJEE
GOONJ UTHI SHEHNAI,1959,VIJAY BHATT
GOOPI GAYEN BAGHA BAYEN,1968,SATYAJIT RAY
GOOPY BAGHA PHIRE ELO,1992,SANDEEP RAY
GOPALUDU BHOOPALUDU,1967,G. VISHWANATHAN
GORAKHNATH,1940,BHALJI PENDHARKAR
GOTAMA THE BUDDHA,1956,RAJBANS KHANNA
GOURI,1993,SIVAPRASAD
GRAHANA,1979,T.S. NAGABHARANA
"GRAND TRUNK ROAD, THE",1942,HENRY BROWN
GRIHADEVATA,1957,MADHAV SHINDE
GRIHAJUDDHA / THE CROSS ROAD,1982,BUDDHADEB DASGUPTA
GRIHAPRAVESHAM,1946,L.V. PRASAD
GRIHASTHI,1948,S.M. YUSUF
GRIHASTHI,1963,KISHOR SAHU
GROW MORE FOOD,1943,BHASKAR RAO
GUDDI,1971,HRISHIKESH MUKHERJEE
GUDI GANTALU,1964,V. MADHUSUDHANA RAO
GUEST HOUSE,1958,RAVINDRA DAVE
GUIDE,1965,VIJAY ANAND
GUL SANOBHAR,1953,ASPI IRANI
GULACHA GANPATI,1953,P.L. DESHPANDE
GUMNAM,1965,RAJA NAWATHE
GUMRAH,1963,B.R. CHOPRA
GUNASAGARI,1953,H.L.N. SINHA
GUNASUNDARI,1955,K. KAMESHWARA RAO
GUNSUNDARI NO GHAR SANSAR,1972,GOVIND SARAIYYA
GYARAH HAZAAR LADKIYAN,1962,K.A. ABBAS
HA MAZA MARG EKLA,1963,RAJA PARANJPE
HAAT BARALEYI BONDHU,1960,SUKUMAR DASGUPTA
HAATHI KA ANDA,2003,ARUN KHOPKAR
HAL TA BHAJEE HALOON,1984,SATRAM ROHRA
HALODIYA CHORAYE BAODHAN KHAYE/CATASTROP,1989,JAHNU BARUA
HAMARA SANSAR,1945,SHANTI KUMAR
HAMARI BETI,1950,SHOBHANA SAMARTH
HAMLET,1954,KISHOR SAHU
HAMRAAZ,1967,B.R. CHOPRA
HAMRAHI,1963,T. PRAKASH RAO
HAMSE GEETHE,1975,G.V. IYER
HANDICRAFTS OF INDIA,1944,BHASKAR RAO
"HANDY MAN, THE",1942,BHASKAR RAO
HANSARAJUDHURANI,1975,AJIT GANGULI
HANUMAN JANMA,1954,RAJA NENE
HAQEEQAT,1964,CHETAN ANAND
HAR HAR GANGE,1978,BABUBHAI MISTRY
HARANO SUR,1957,AJOY KAR
HARISCHANDRA,1943,SARASWATHI
HARISCHANDRA,1943,K. NAGABHUSHANAM
HARISCHANDRA,1957,PHANI BURMA
HARMONIUM,1975,TAPAN SINHA
HASTI,1993,ASHOK GAIKWAD
HATEY BAZAREY,1967,TAPAN SINHA
HATTOGAL VIJAY,1961,BALU DAS
HAWA,2003,GUDDU DHANOA
HAWA MAHAL,1962,RAMESH VYAS
HAZAAR CHAURASI KI MAA,1997,GOVIND NIHALANI
HEERA AUR PATTHAR,1977,VIJAY BHATT
HEERA MOTI,1960,KRISHAN CHOPRA
HEERA PANNA,1973,DEV ANAND
HEERER PRAJAPATI,1968,SANTI CHOUDHARY
HELLO BROTHER,1999,SOHAILKHAN
HILLIMEN GO TO WAR,1943,BHASKAR RAO
HIMALAYAN TAPESTRY,1957,MOHAN BHAVANANI
HINDUSTAN KI KASAM,1973,CHETAN ANAND
HIP HIP HURRAY,1984,PRAKASH JHA
HIRAK RAJAR DESHE,1980,SATYAJIT RAY
HOLI,1983,KETAN MEHTA
HOMO SAPS,1966,G.K. GOKHALE
HOWRAH BRIDGE,1958,SHAKTI SAMANTA
HRIDAYSPARSHI,1998,MAYUR VAISHNAV
HRITHUBEDHAM / RUTHUBHEDAM,1987,PRATAP PONTHAN
HUA SAVERA,1948,KULBHUSHAN AGARWAL
HULCHUL,1951,S.K. OJHA
HUM DIL DE CHUKE SANAM,1999,SANJAY LEELA BHANSALI
HUM DONO,1961,AMARJEET
HUM HAIN RAHI PYAR KE,1993,MAHESH BHATT
HUM KAHAN JA RAHEIN HAIN,1966,NITIN BOSE
HUM KISISE KAM NAHIN,2002,DAVID DHAWAN
HUM NAUJAWAN,1985,DEV ANAND
HUM PANCHHI EK DAL KE,1957,P.L. SANTOSHI
HUM SAB CHOR HAIN,1956,I.S. JOHAR
HUMDARD,1953,S. BHAGAT
HUMLOG,1951,ZIA SARHADY
HUNTERWALI KI BETI,1943,BATUK BHATT
HUSN KA CHOR,1953,J.B.H. WADIA
I AM TWENTY,1967,S.N.S. SHASTRY
"I COULDN'T BE YOUR SON, MOM",2004,SOHINI DASGUPTA
IDD KA TOFFA,1934,SHRI BHARATLAXMI PICTURES
IDD MUBARAK,1960,K.A. ABBAS
IDIOT,1991,MANI KAUL
IJAAZAT,1987,GULZAR
IMAGI NINGTHEM,1981,ARIBAM SYAM SHARMA
IN HOLY CONFLUNANCES,1977,B.N. MEHRA
IN MEMORY OF FRIENDS,1989,ANAND PATWARDHAN
IN THE NAME OF GOD / RAM KE NAAM,1992,ANAND PATWARDHAN
IN WHICH ANNIE GIVES IT THOSE ONES,1988,PRADEEP KRISHNAN
INDIA ARMS FOR VICTORY,1941,KENNETH VILLIERS
INDIA RUBBER,1942,KENNETH VILLIERS
INDIAN NEWS MAGAZINE 370 : BIRDMAN OF BI,1999,SHANKAR PATNAIK
INDIAN SEAMAN DECORATED,1943,JOHN SOMMERFIELD
"INDIAN STORY, AN",1981,TAPAN BOSE
INDIAN THEATRE,1988,JABBAR PATEL
INDIAN WOMEN IN THE 21ST CENTURY,2000,RAGHU KRISHNA
INDIRA,1995,SUHASINI
INDUSTRIAL INDIA,1943,JINARAJ BODHYE
INGEET,1963,TARU MUKHERJEE
INKAR,1977,RAJ N. SIPPY
INNER EYE,1972,SATYAJIT RAY
INQUIRY,1967,CLEMENT BAPTISTA
INSAAF KA TARAZU,1980,B.R. CHOPRA
INSAAN AUR SHAITAN,1970,ASPI IRANI
INSAAN JAAG UTHA,1959,SHAKTI SAMANTA
INSANIYAT,1955,S.S. VASAN
INTERVIEW,1970,MRINAL SEN
IRAKAL,1985,K.G. GEORGE
IRU KODUKAL,1969,K. BALCHANDER
IRUTINTE ATMAVU,1967,P. BHASKARAN
IRUVAR,1997,MANI RATNAM
ISHANOU,1990,ARIBAM SYAM SHARMA
IT RESTED / THALAM DHADHU,1988,M.S. SOUDAMINI
ITIHAAS / EXPLORATION,1995,BHABENDRANATH SAIKIA
ITTEFAQ,1969,YASH CHOPRA
IZZAT,1969,T. PRAKASH RAO
IZZAT KI ROTI,1993,K.PAPPU
IZZATDAAR,1990,K. BAPAIAH
JAAL,1952,GURU DUTT
JAAN PAHECHAN,1950,FALI MISTRY
JAANE BHI DO YARO,1983,KUNDAN SHAH
JABSE TUMHE DEKHA HAI,1963,KEDAR KAPOOR
JADOO KA SHANKH,1975,SAI PARANJPE
JADUBHATTA,1954,NIREN LAHIRI
JAGGA,1964,JUGAL KISHORE
JAGRIHI,1954,HITEN MUZUMDAR
JAGRITI,1954,SATYEN BOSE
JAGTE RAHO,1956,SOMBHU MITRA & AMIT MOITRA
JAI BHAVANI,1947,JAISHANKAR DANVE
JAI MAHAKALI,1951,DHIRUBHAI DESAI
JAI SANTOSHI MAA,1975,VIJAY SHARMA
JAILOR,1938,SOHRAB MODI
JAISE KO TAISA,1966,M.V. KUNTE
JAIT RE JAIT,1977,JABBAR PATEL
JAL-I-JIBON,1959,SWARAJ MITRA
JALAKAM,1986,HARIKUMAR
JALAKANYAKA,1971,M.S. MANI
JALAMARMARAM,1999,T.K. RAJIV KUMAR
JALDEEP,1956,KEDAR SHARMA
"JALSAGHAR / MUSIC ROOM, THE",1958,SATYAJIT RAY
JALTI NISHANI,1932,V. SHANTARAM
JAMAIBABU,1931,KALIPADA DAS
JANA ARANYA,1975,SATYAJIT RAY
JANAK NANDINI,1938,PHANI BARUA
JANAM,1985,MAHESH BHATT
JANAM JANAM KE PHERE,1957,MANOO DESAI
JANANI,1999,RAJEEV NATH
JANETA,1947,F.R. IRANI
JANMABHOOMI,1968,JOHN SHANKARAMANGALAM
JANMATITHI,1957,DILIP MUKHERJEE
JAWANI KI HAWA,1935,FRANZ OSTEN
JAYASIMHAA,1955,YOGANAND
JEET,1949,MOHAN SINHA
JEEVAN,1944,M. SADIQ
JEEVAN NAIYA,1936,FRANZ OSTEN
JEEVANA CHAITHRA,1992,DORAIRAJ BHAGAWAN
JEEVANA SATHI,1963,PRABHAT MUKHERJEE
JEEVANAM SAM,1968,MALLIYAM RAJGOPAL
JEEVIT AAMCHE OXEM,1971,Y.V. RAO
JEEVITHAM / VAZHAKAI,1949,M.V. RAMAN
JEWEL THIEF,1967,VIJAY ANAND
JHANAK JHANAK PAYAL BAAJE,1955,V. SHANTARAM
JHOOLA,1941,GYAN MUKHERJEE
JHOR,1979,UTPAL DUTT
JIBAN MRITYU,1967,HIREN NAG
JIBAN SANGINI,1942,GUNAMAYA BANNERJEE
JIGHANSA,1951,AJOY KAR
JINDAGI KHOOBSURAT HAIN,2002,MANOJ KRISHNAN PANJU
JIS DESH MEIN GANGA BAHATI HAI,1960,RADHU KARMARKAR
JIYO AUR JEENE DO,1982,SHYAM RALHAN
JO JEETA WOHI SIKANDER,1992,MANSOOR KHAN
JOGA JOG,1943,SUSHIL MAJUMDAR
JOGAN,1950,KIDAR SHARMA
JOHAR MAIBAAP,1950,RAM GABALE
JOHNNY,1980,J. MAHENDRAN
JOI BABA FELUNATH,1978,SATYAJIT RAY
JOTUGRIHA,1964,TAPAN SINHA
JOYDEV,1954,PHANI BURMA
JUDGEMENT OF ALLAH,1935,MEHBOOB KHAN
JUGNU,1947,SHAUKAT HUSSIAN RIZVI
JUGNU,1973,PRAMOD CHAKRABORTY
JUKTI TAKKO AAR GAPPO,1974,RITWIK GHATAK
JUNGLE KA SHER (REEL NO. 7 ONLY),1946,HARBANS
JUNOON,1978,SHYAM BENEGAL
KAADU,1972,GIRISH KARNAD
KAADU KUDRE,1978,CHANDRASEKHAR KAMBAR
KAAGAZ KE PHOOL,1959,GURU DUTT
KAALISUNDARAM RAA..,1999,UDAY SHANKAR
KAANAMARAYATHU,1984,I.V. SASI
KABANI NADI CHUVANNAPPOL,1975,P.A. BACKER
KABHI HAAN KABHI NAA,1993,KUNDAN SHAH
KABULIWALA,1956,TAPAN SINHA
KACHA DEVYANI / MRIT SANJIVANEE,1938,DRONAMRAJ B.A.
KACHEHARI,1993,RAVINDRA PEEPAT
KADAL POOKKAL,2000,BHARATHIRAAJA
KADAL THEERATHU,1988,T. RAJEEVNATH
KADALLIKA NERUMILLAI,1964,SRIDHAR
KADALPPALAM,1969,K.S. SETHUMADHAVAN
KADAVU,1991,M.T. VASUDEVAN NAIR
KADU MAKRANI,1960,MANHAR RASKAPUR
KAIKODUTHA DAIVAM,1964,K.S. GOPALAKRISHNAN
KAIREE,1999,AMOL PALEKAR
KAJAL,1965,RAM MAHESHWARI
KAKATHAMPURATI,1970,P. BHASKARAN
KAL AAJ AUR KAL,1971,RANDHIR KAPOOR
KAL HO NA HO,2003,NIKHIL ADVANI
KAL KA AADMI / MAN BEYOND TIME,2000,AMOL PALEKAR
KAL UDAS NA HOGI,1965,S. SUKHDEV
KALA BAZAAR,1960,VIJAY ANAND
KALA PANI,1958,RAJ KHOSLA
KALA PANI,1995,PRIYADARSHAN / MOHANLAL
KALAHANDI,2001,GOUTAM GHOSH
KALAHSTI MAHTYAM,1954,H.L.N. SINHA
KALAM MARINDI,1972,K. VISHWANATH
KALAM VELLUM,1970,M. KARNAN
KALAMANDALAM GOPI,1999,ADOOR GOPALAKRISHNAN
KALANKA BHANJAN,1933,AMAR CHAUDHARY
KALASIVUNTE KALADU SUKHAM,1959,TAPI CHANAKYA
KALATHUR KANNAMMA,1960,A. BHIMSINGH
KALEYUM KAMINIYUM,1963,P. SUBRAMANYAM
KALIYATTAM,1995,JAYARAAJ
KALLOL,1978,ATUL BORDOLOI
KALPANA,1960,RAKHAAN
KALSANDHYA,1997,BHABENDRANATH SAIKIA
KALYUG,1980,SHYAM BENEGAL
KAMAL KE PHOOL,1950,D.D. KASHYAP
KAMLI,1946,S.P. BAKSHI
KAN SIVANTHAL MAN SIVAKKUM,1983,SRIDHAR RAJAN
KANAKLATA,1974,GHANASHYAM MAHAPATRA
KANALATTAM,1979,C. RADHAKRISHNAN
KANAVUMALAYILEKKU / TO THE DREAM MOUNTAIN,2002,M.G. SASI
KANCHAN GANGA,1954,MADHAV SHINDE
KANCHAN JUNGHA,1962,SATYAJIT RAY
KANCHAN SEETHA,1977,G. ARAVINDAN
KANCHER SWARGA,1962,YATRIK
KANDU KONDEN KANU KONDEN,2000,RAJIV MENON
KANKABATIR GHAT,1955,CHITTA BOSE
KANKANA,1974,V.R.K. PRASAD
KANKU,1969,KANTILAL RATHOD
KANNA TALLI,1953,K.S. PRAKASH RAO
KANNAGI,1942,M. SOMSUNDARAM & R.S. MANI
KANNAN VARUVAN,1970,I.N. MURTHY
KANNATHIL MUTHAMITTAL,2002,MANI RATNAM
KANNE PAPA,1969,P. MADHAVAN
KANNUM KARALUM,1962,K.S. SETHUMADHAVAN
KANOON,1960,B.R. CHOPRA
"KANOON (REEL NO. 5,8,9,11)",1943,A.R. KARDAR
KANTE KUTURNE KANU,1998,DASARI NARAYANA RAO
KAPPALOTIYA THAMIZHAN,1961,B.R. PANTHULU
KAPURUSH-O-MAHAPURUSH,1965,SATYAJIT RAY
KARAKANAKADAL,1971,K.S. SETHUMADHAVAN
KARNAN,1964,B.R. PANTHULU
KARPAGAM,1963,K.S. GOPALAKRISHNAN
KARTIKI,1974,DATTA MANE
KARUNAM / PATHOS,1999,JAYARAAJ
KARUTHA KAYI,1964,M. KRISHNAN NAIR
KARZ,1980,SUBHASH GHAI
KASAUTI,1974,ARAVIND SEN
KASAVUTHATTAM,1967,KUNCHAKO
KASBA,1990,KUMAR SHAHANI
KASHINATH,1943,NITIN BOSE
KASHMIR,1951,RAJINDERNATH JOLLY
KASHMIR KI KALI,1964,SHAKTI SAMANTA
KASTURI,1978,BIMAL DUTT
KASUMBI NO RANG,1977,G.K. MEHTA
KATHA,1982,SAI PARANJPE
KATHA DON GANAPATRAONCHI,1996,ARUN KHOPKAR
KATHA SANGAMA,1975,PUTTANA KANAGAL
KATHAK,1970,S. SUKHDEV
KATHAKALI,1959,MOHAN WADHWANI
KATHANAYAKUDU,1965,B.R. PANTHALU
KATHAPURUSHAN / MAN OF THE STORY,1996,ADOOR GOPALAKRISHNAN
KATHIRUNDA KANGAL,1962,T. PRAKASH RAO
KATI PATANG,1970,SHAKTI SAMANTA
KATTATHE KILIKOODU,1983,B.G. BHARATHAN
KATTU MANIA,1963,M. KRISHNAN NAIR
KAVALAI ILLATHA MANITHAN,1960,K. SHANKAR
KAVALAM CHUNDAN,1967,SASIKUMAR
KAVALKARAN,1967,P. NEELAKANTHAN
KAVI KALIDAS,1959,S.N. TRIPATHI
KAVYA MELA,1965,M. KRISHNAN NAIR
KAYAMKULAM KOCHUNNI,1966,P.A. THOMAS
KAYYUM THALAYUM PURATHIDARUTHU,1985,P. SHRIKUMAR
KAZHAKAM,1995,M.P. SUKUMARAN NAIR
KHAJURAHO FESTIVAL OF DANCE,1999,KAMAL SWAROOP
KHAMOSH,1985,VIDHU VINOD CHOPRA
KHAMOSHI,1971,ASIT SEN
KHANDAN,1942,SHAUKAT HUSSAIN RIZVI
KHANDHAR / THE RUINS,1983,MRINAL SEN
KHARIJ,1982,MRINAL SEN
KHATTA MEETHA,1977,BASU CHATTERJEE
KHAUFF,2000,SANJAY GUPTA
KHAYAL GATHA,1988,KUMAR SHAHANI
KHEL MUQADDAR KA,1980,VEERINDER
KHOTA PAISA,1958,M. SADIQ
KHOTE SIKKAY,1974,NARINDER BEDI & N.D. KOTHARI
KHUBSOORAT,2001,SANJAY CHHAIL
KICHU SMRUTHI KICHU ANUBATI,1988,MANMOHAN MAHAPATRA
KILADI RANGA,1966,G.V. IYER
KILIPPATTU,1985,A. RAGHAVAN
KINU GOYALAR GOLI,1964,O.C. GANGULY
KIREEDAM,1989,SIBI MALAYIL
KISMET,1943,GYAN MUKHERJEE
KIZHVANAM SIVAKKUM,1981,SRINIVASAN
KLANTA APARANHA,1984,MANMOHAN MAHAPATRA
KNOCK OF FATE,1942,B. MITRA
KOCHANIYAN,1994,SATISH VENGANOOR
KOCHU KOCHU SANTOSHANGAL,2000,SATHYAN ANTHIKKAD
KODIYETTAM,1977,ADOOR GOPALAKRISHNAN
KODUNGALLURAMMA,1968,KUNCHAKO
KOHINOOR,1960,S.U. SUNNY
KOHRAA,1964,BIREN NAG
KOKILA,1977,BALU MAHENDRA
KOLAHAL (THE TURMOIL),1988,BHABENDRANATH SAIKIA
KOLANGAL,1980,K.G. GEORGE
KOMAL GANDHAR,1961,RITWIK GHATAK
KONJUM SALANGAI,1962,M.V. RAMAN
KONNY,1984,SAROJ DE
KORA KAGAZ,1974,ANIL GANGULY
KRANTIVIR VASUDEV BALVANT PHADKE,1950,VISHRAM BEDEKAR
KRISHNA LEELA,1946,DEBAKI BOSE
KRISHNA SUDAMA,1936,PHANI BURMA
KRISHNA VIWAHA / SREE GANESH MAHIMA,1944,J.B.H. WADIA
KRISHNAGARADAI,1985,VIJAYA BAPINEEDU
KRISHNAKANTER WILL,1932,JYOTISH BANNERJEE
KSHN AALA BHAGYACHA,1962,DATTA DHARMADHIKARI
KSHUDISTA PASHAN / HUNGRY STONE,1960,TAPAN SINHA
KUBERACHE DHAN,1953,BALKRISHNA
KUDISAI,1979,JAIBHARATI
KUDUMBA TALAIVAN,1962,M.A. THIRUMAGAM
KUDUMBAM NAMMUKU SREEKOVIL,1978,T. HARIHARAN
KUHKHAL,1999,JOHAN BARAU
KULDAIWAT,1955,DINKAR D. PATIL
"KUMKUM THE DANCER (REEL NO. 1,3,9,",1940,MODHU BOSE
"KUMMATTY / BOGEYMAN, THE",1979,G. ARAVINDAN
KUNJALI MARAKKAR,1966,S.S. RAJAN
KUNKU,1937,V. SHANTARAM
KUNWARA BAAP,1974,MEHMOOD
KURAVANCHI,1960,A. KASILINGAM
KUTTIKKUPPAYAM,1964,M. KRISHNAN NAIR
KUZHANTHIYUM DAIVAMUM,1965,KRISHNAN & PANJU
KUZHANTHIYUM DEIVAMUM,1965,KRISHNAN & PANJU & JAWAR SEETARAMA
KYON?,2003,KALPANA LAJMI
LAADLA,1966,KRISHNAN & PANJU
LAAT SAHEB,1967,HARI WALIA
LADKI,1953,M.V. RAMAN
LAGNA PAHAVE KARUN,1940,MASTER VINAYAK
LAGNALA JATO MEE,1960,DATTA KULKARNI
LAILA MAJNU,1949,P.S. RAMAKRISHNA RAO
LAILA MAJUNU,1945,S. NAZIR & NAYYAR
LAJOO,1963,JUGAL KISHORE
LAJWANTI,1958,NARENDRA SURI
LAKHON KI BAAT,1984,BASU CHATTERJEE
LAKHTAR NI LADI NE VILAYAT NO VAR,1998,ARUN BHATT
LAKSHA HIRA,1956,CHITTARANJAN MAITRA
LAKSHMI NARAYAN,1951,NANABHAI BHATT
LAKSHMI VIJAYAM,1947,BOMAN IRANI
LAL HAVELI,1944,K.B. LALL
LAL PATTHAR,1971,SUSHIL MAJUMDAR
LALKAAR,1944,JAYANT DESAI
"LANDSCAPE, THE",2000,RAVI JADHAV
LANKA DAHAN,1917,D.G. PHALKE
LAPANDAV,1993,SHRAVANI DEODHAR
"LAST TRIP, THE",1998,VISHNU SONAWANE
LATENT,1970,B.R. CHOUDHURY
LAVKUSA,1963,C. PULLAIAH & C S RAO
LEKHAYUDE MARANAM ORU FLASHBACK / LEKHA'S DEATH,1983,K.G. GEORGE
"LIBERALISATION & ECONOMIC DEVELOPMENT, NEWS MAGAZINE 389",1999,U.B. MATHUR
LIFE,1969,S. GANGULI
LIFE / VAZHAKI,1949,M.V. RAMAN
LIGHT OF ASIA/PREM SANYAS,1925,FRANZ OSTEN
LIVES IN STORAGE,1943,G.R. SETHI
LOKAPRIYA,2000,ARUN KHOPKAR
LOST INNOCENCE,2001,SMITA KAPOOR & OTHERS
LOTI GHOTI,1966,BHUPAN HAZARIKA
LOUHA KAPAT,1957,TAPAN SINHA
LOVE IN SIMLA,1960,R.K. NAYYAR
LOVE IN TOKYO,1966,PRAMOD CHAKRABORTY
LOVING HEART / LAVANYA PREETI,1993,A.K. BIR
