Title,Year,Directors
AND I MAKE SHORT FILMS,1968,S.N.S. SHASTRY
AND MILES TO GO,1964,S. SUKHDEV
ANDAZ APNA APNA,1994,RAJKUMAR SANTOSHI
ANDHA NALL / THAT DAY,1954,S. BALACHANDER
ANDHI GALI,1985,ARUN KAUL
ANDOLAN,1951,PHANI MUJUMDAR
ANGARAKSHAK,1995,RAVI RAJA
ANGELS OF INDIA,1942,EZRA MIR
ANGOOR,1982,GULZAR
ANHONEE,1952,K.A. ABBAS
ANIRBAN,1981,BHABENDRANATH SAIKIA
ANIRIKSHITA,1970,B. NAGESH BABA
ANJALI,1990,MANI RATHNAM
ANJUMAN,1986,MUZAFFAR ALI
ANKAHEE,1984,AMOL PALEKAR
ANKHIYON KE ZHAROKONSE,1978,HIREN NAG
ANKUR,1974,SHYAM BENEGAL
ANKUSH,1986,N. CHANDRA
ANNAIYUM PITHAVUM,1959,KRISHANM PANJU
ANNAMAYA,1997,RAGHAVENDRA RAO
ANOKHA PYAR,1948,M.I. DHARAMSEY
ANOKHI RAAT,1968,ASIT SEN
ANTARDHAN,1992,NABAKUMAR CHANDRA & SWAPAN MITRA
ANTAREEN / THE CONFINED,1993,MRINAL SEN
ANTARIKSHA,1954,RAJAN TARAFDAR
"ANTARJALI YATRA / VOYAGE BEYOND, THE",1987,GAUTAM GHOSH
ANTASTULU,1965,V. MADHUSUDHANA RAO
ANU,1998,SATARUPA SANYAL
ANUBHAV,1971,BASU BHATTACHARYA
ANUBHAVANGAL PALICHAKAL,1971,K.S. SETHUMADHAVAN
ANUBHAVI RAJA ANUBHAVI PRAJA,1967,K. BALCHANDER
ANUPAMA,1966,HRISHIKESH MUKHERJEE
ANURADHA,1960,HRISHIKESH MUKHERJEE
ANURAG,1972,SHAKTI SAMANTA
ANVESHICHU KANDATIYILLA,1967,P. BHASKARAN
ANYA SWAPNA,2002,ASHOKE VISWANATHAN
ANYARUDE BHOOMI,1979,NILAMBUR BALAN
APANA HATH JAGANATH,1960,MOHAN SEHGAL
APANJAN,1968,TAPAN SINHA
APARADHI KAUN,1957,ASIT SEN
APARNA,1981,PADMA KUMAR
APAROOPA,1981,JAHNU BARUA
APNE HUYE PARAYE,1964,AMIYA CHAKRABORTY
APOORVA RAGANGAL,1975,K. BALCHANDER
APOORVA SAHODARAGAL / STRANGE BROTHERS,1949,T.G. RAGHAVACHARYA
APOSTLE OF THE INDIES,1965,T.A. ABRAHAM
18-Apr,1982,BALCHANDRA MENON
APUR SANSAR,1959,SATYAJIT RAY
ARANAZHIKANERAM,1970,K.S. SETHUMADHAVAN
ARANGETRAM,1973,K. BALCHANDER
ARANYA,1971,SAMARENDRA NARAYAN DEB
ARANYER DIN RATRI,1970,SATYAJIT RAY
ARASILANKUMARI,1961,A.S.A. SAMI
ARCHANA,1966,K.S. SETHUMADHAVAN
ARDH SATYA,1983,GOVIND NIHALANI
ARDHANGI,1940,MASTER VINAYAK
ARDHANGI,1955,P. PULLIAH
ARDHANGINI,1959,AJIT CHAKRAVARTY
ARMS FROM INDIA,1941,EZRA MIR
AROGYANIKETAN,1967,BIJOY BOSE
AROHAN,1982,SHYAM BENEGAL
AROODHAM,1983,I.V. SASI
AROUND THE WORLD,1967,PACHHI
ARTH,1983,MAHESH BHATT
ARUNAGIRI NATHAR,1964,RAMANNA
ARUNDHATI,1967,P.K. SEN GUPTA
ARVIND DESAI KI AJEEB DASTAN,1978,SAEED MIRZA
ARZOO,1950,SHAHEED LATIF
ASAI MAGAN,1953,G.R. RAO
ASHANI SANKET,1973,SATYAJIT RAY
ASHICH EK RAATRA HOTI,1971,ANANT MANE
ASHWAMEDHAM,1967,A. VINCENT
ASLI NAQLI,1962,HRISHIKESH MUKHERJEE
ASOKA,2001,SANTOSH SIVAN
ASOOKH,1998,RITUPARNO GHOSH
ASTHIKAL POOKKUNNU / AND BONES DO ...,1988,P. SHRI KUMAR
ASTITVA,2000,MAHESH MANJAREKAR
ASWATHAMA,1978,K.R. MOHANAN
ATANKA / TERROR,1986,TAPAN SINHA
ATHYEY KANGAL,1967,THIRULOK ATISHBAAZ
ATITHI,1965,TAPAN SINHA
ATITHI,1978,ARAVIND SEN
ATITHI,2001,P. SHESHADRI
ATMA BANDHUVU,1962,P.S. RAMAKRISHNA RAO
ATMAJA,1998,RAJKUMAR JAIN
ATMASAKHI,1952,G.R. RAO
ATYACHAR,1978,C.P. SHARMA
AURAT,1940,MEHBOOB KHAN
AURAT,1953,BHAGWANDAS VARMA
AURAT,1967,S.S. VASAN / S.S. BALAN
AURORA FILM NEWS 48,1962,NA
AURORA FILM NEWS 49,1963,NA
AURORA FILM NEWS 50,NA,NA
AVAKASHI,1954,ANTHONY MITHRADAS
AVAL APPADITHAN,1978,C. RUDRAIH
AVAL ORU THODARKATHAI,1975,K. BALCHANDER
AVARGAL,1977,K. BALCHANDER
AVASTHE,1987,KRISHNA MASADI
AVE KALLU,1967,A.C. TRILOGCHANDER
AVGHACHI SANSAR,1960,ANANT MANE
AVVAIYAR,1953,S.S. VASAN
AW AAKARE AA,2003,SUBAS DAS
AWARA,1951,RAJ KAPOOR
AYODHYA KA RAJA,1932,V. SHANTARAM
AZAD,1940,N.R. ACHARYA
AZHIYATHA KOLANGAL,1979,BALU MAHENDRA
BAAP RE BAAP,1955,A.R. KARDAR
BABLA,1951,AGRADOOT
BADAL,1966,ASPI
BADI BAHEN,1949,D.D. KASHYAP
BADNAM BASTI,1971,PREM KAPOOR
BADSHAH,1963,AGRADOOT
BADSHAH,1954,AMIYA CHAKRABORTY
BAGH BAHADUR,1989,BUDHADEV DASGUPTA
